source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006957,"complement activation, alternative pathway",4.640297957043402e-16,True,"""Any process involved in the activation of any of the steps of the alternative pathway of the complement cascade which allows for the direct killing of microbes and the regulation of other immune processes."" [GOC:add, ISBN:0781735149]",17,15,7,20972,0.4666666666666667,0.4117647058823529,query_1,"['GO:0006956', 'GO:0045087']"
GO:BP,GO:0002682,regulation of immune system process,2.0201950607024447e-14,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,15,15,20972,1.0,0.009410288582183186,query_1,"['GO:0002376', 'GO:0050789']"
REAC,REAC:R-HSA-168249,Innate Immune System,2.8180927239328684e-13,True,Innate Immune System,1102,15,15,11056,1.0,0.013611615245009074,query_1,['REAC:R-HSA-168256']
GO:BP,GO:0006955,immune response,1.4590608373049608e-12,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,15,15,20972,1.0,0.007082152974504249,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0048584,positive regulation of response to stimulus,5.746278512597545e-12,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,15,15,20972,1.0,0.00646551724137931,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
KEGG,KEGG:05150,Staphylococcus aureus infection,2.8537936168771486e-11,True,Staphylococcus aureus infection,87,15,8,8716,0.5333333333333333,0.09195402298850575,query_1,['KEGG:00000']
GO:BP,GO:0002376,immune system process,1.7627490713792332e-10,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,15,15,20972,1.0,0.005149330587023687,query_1,['GO:0008150']
REAC,REAC:R-HSA-168256,Immune System,4.232504937808015e-09,True,Immune System,2086,15,15,11056,1.0,0.007190795781399808,query_1,['REAC:0000000']
GO:BP,GO:0048583,regulation of response to stimulus,2.0175259692885468e-08,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,15,15,20972,1.0,0.003756574004507889,query_1,"['GO:0050789', 'GO:0050896']"
REAC,REAC:R-HSA-174577,Activation of C3 and C5,2.470904593114234e-08,True,Activation of C3 and C5,7,15,4,11056,0.26666666666666666,0.5714285714285714,query_1,['REAC:R-HSA-166658']
GO:BP,GO:0006958,"complement activation, classical pathway",5.792744998871584e-08,True,"""Any process involved in the activation of any of the steps of the classical pathway of the complement cascade which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes."" [GOC:add, ISBN:0781735149]",38,15,5,20972,0.3333333333333333,0.13157894736842105,query_1,"['GO:0002455', 'GO:0006956']"
GO:BP,GO:0006952,defense response,1.2298632452885095e-07,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1883,15,12,20972,0.8,0.006372809346787042,query_1,['GO:0006950']
GO:BP,GO:0045087,innate immune response,2.2003840690151807e-07,True,"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_sensu]",1018,15,10,20972,0.6666666666666666,0.009823182711198428,query_1,"['GO:0006955', 'GO:0140546']"
GO:BP,GO:0002430,complement receptor mediated signaling pathway,2.221805285824258e-07,True,"""The series of molecular signals generated as a consequence of a component of the complement pathway binding to a complement receptor. Such components include both whole complement proteins and fragments of complement proteins generated through the activity of the complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",14,15,4,20972,0.26666666666666666,0.2857142857142857,query_1,['GO:0002429']
GO:BP,GO:0002455,humoral immune response mediated by circulating immunoglobulin,2.6969818213346906e-07,True,"""An immune response dependent upon secreted immunoglobulin. An example of this process is found in Mus musculus."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",51,15,5,20972,0.3333333333333333,0.09803921568627451,query_1,"['GO:0006959', 'GO:0016064']"
GO:BP,GO:0140546,defense response to symbiont,4.702294946342777e-07,True,"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]",1100,15,10,20972,0.6666666666666666,0.00909090909090909,query_1,['GO:0098542']
GO:BP,GO:0098542,defense response to other organism,5.65849072638998e-07,True,"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]",1121,15,10,20972,0.6666666666666666,0.008920606601248885,query_1,"['GO:0006952', 'GO:0051707']"
GO:BP,GO:0051707,response to other organism,7.108833755496557e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1610,15,11,20972,0.7333333333333333,0.0068322981366459624,query_1,"['GO:0043207', 'GO:0044419']"
GO:BP,GO:0043207,response to external biotic stimulus,7.252284227839003e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1613,15,11,20972,0.7333333333333333,0.006819590824550527,query_1,"['GO:0009605', 'GO:0009607']"
GO:BP,GO:0009607,response to biotic stimulus,9.370757542473636e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1652,15,11,20972,0.7333333333333333,0.006658595641646489,query_1,['GO:0050896']
GO:BP,GO:0030449,regulation of complement activation,1.0726833979837332e-06,True,"""Any process that modulates the frequency, rate or extent of complement activation."" [GOC:go_curators]",20,15,4,20972,0.26666666666666666,0.2,query_1,"['GO:0002697', 'GO:0002920', 'GO:0006956']"
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,2.046466737717385e-06,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,15,11,20972,0.7333333333333333,0.0061902082160945416,query_1,['GO:0008150']
GO:BP,GO:0009605,response to external stimulus,2.4070858472539627e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,15,12,20972,0.8,0.004944375772558714,query_1,['GO:0050896']
GO:BP,GO:0002697,regulation of immune effector process,5.928911018574043e-06,True,"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]",395,15,7,20972,0.4666666666666667,0.017721518987341773,query_1,"['GO:0002252', 'GO:0002682']"
REAC,REAC:R-HSA-173736,Alternative complement activation,6.5075447836548025e-06,True,Alternative complement activation,5,15,3,11056,0.2,0.6,query_1,['REAC:R-HSA-166663']
GO:BP,GO:0048518,positive regulation of biological process,1.3257745061630817e-05,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,15,15,20972,1.0,0.0024390243902439024,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0097242,amyloid-beta clearance,1.6219561377495896e-05,True,"""The process in which amyloid-beta is removed from extracellular brain regions by mechanisms involving cell surface receptors."" [GOC:aruk, GOC:bc, GOC:BHF, PMID:18289866, PMID:19098903, PMID:26005850]",38,15,4,20972,0.26666666666666666,0.10526315789473684,query_1,['GO:0032501']
GO:BP,GO:0002699,positive regulation of immune effector process,1.8738915390489265e-05,True,"""Any process that activates or increases the frequency, rate, or extent of an immune effector process."" [GOC:add]",256,15,6,20972,0.4,0.0234375,query_1,"['GO:0002252', 'GO:0002684', 'GO:0002697']"
GO:BP,GO:0002443,leukocyte mediated immunity,2.1173369653151193e-05,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",475,15,7,20972,0.4666666666666667,0.014736842105263158,query_1,['GO:0002252']
KEGG,KEGG:04613,Neutrophil extracellular trap formation,2.9656775160178862e-05,True,Neutrophil extracellular trap formation,192,15,6,8716,0.4,0.03125,query_1,['KEGG:00000']
GO:BP,GO:0002920,regulation of humoral immune response,2.9753824390574023e-05,True,"""Any process that modulates the frequency, rate, or extent of a humoral immune response."" [GOC:add]",44,15,4,20972,0.26666666666666666,0.09090909090909091,query_1,"['GO:0006959', 'GO:0050776']"
GO:BP,GO:0097278,complement-dependent cytotoxicity,6.404481839128173e-05,True,"""Cell killing caused by the membrane attack complex formed following complement activation."" [GOC:add, GOC:rv]",11,15,3,20972,0.2,0.2727272727272727,query_1,['GO:0001906']
KEGG,KEGG:05134,Legionellosis,0.00013091135510307148,True,Legionellosis,56,15,4,8716,0.26666666666666666,0.07142857142857142,query_1,['KEGG:00000']
GO:BP,GO:0016064,immunoglobulin mediated immune response,0.00029538814977697625,True,"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",203,15,5,20972,0.3333333333333333,0.024630541871921183,query_1,['GO:0019724']
GO:BP,GO:0019724,B cell mediated immunity,0.00031771974880060133,True,"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",206,15,5,20972,0.3333333333333333,0.024271844660194174,query_1,"['GO:0002449', 'GO:0002460']"
GO:BP,GO:0002888,positive regulation of myeloid leukocyte mediated immunity,0.0003748280964406393,True,"""Any process that activates or increases the frequency, rate, or extent of myeloid leukocyte mediated immunity."" [GOC:add]",19,15,3,20972,0.2,0.15789473684210525,query_1,"['GO:0002444', 'GO:0002705', 'GO:0002886']"
KEGG,KEGG:05140,Leishmaniasis,0.0003813147014623372,True,Leishmaniasis,73,15,4,8716,0.26666666666666666,0.0547945205479452,query_1,['KEGG:00000']
GO:BP,GO:0001906,cell killing,0.0004113203844634744,True,"""Any process in an organism that results in the killing of its own cells or those of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions."" [GOC:add]",217,15,5,20972,0.3333333333333333,0.02304147465437788,query_1,['GO:0009987']
KEGG,KEGG:05133,Pertussis,0.0004481048377062225,True,Pertussis,76,15,4,8716,0.26666666666666666,0.05263157894736842,query_1,['KEGG:00000']
GO:BP,GO:0001970,positive regulation of activation of membrane attack complex,0.0006282705650438617,True,"""Any process that activates, maintains or increases the frequency, rate or extent of the activation of the membrane attack complex components of the complement cascade."" [GOC:hjd]",2,15,2,20972,0.13333333333333333,1.0,query_1,"['GO:0001905', 'GO:0001969', 'GO:0045917']"
GO:BP,GO:0006950,response to stress,0.0007333887418385447,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,15,12,20972,0.8,0.0030120481927710845,query_1,['GO:0050896']
GO:BP,GO:0002703,regulation of leukocyte mediated immunity,0.0008622174102088538,True,"""Any process that modulates the frequency, rate, or extent of leukocyte mediated immunity."" [GOC:add]",252,15,5,20972,0.3333333333333333,0.01984126984126984,query_1,"['GO:0002443', 'GO:0002697']"
GO:BP,GO:0010575,positive regulation of vascular endothelial growth factor production,0.0017298175711623022,True,"""Any process that increases or activates the frequency, rate, or extent of production of vascular endothelial growth factor."" [GOC:BHF, GOC:rl]",31,15,3,20972,0.2,0.0967741935483871,query_1,"['GO:0001819', 'GO:0010573', 'GO:0010574']"
GO:BP,GO:0150064,vertebrate eye-specific patterning,0.0018840327235201781,True,"""Early postnatal vertebrate developmental process, during which axons of retinal ganglion cells (RGCs), transmitting overlapping inputs from both eyes, segregate into distinct eye-specific non-overlapping regions in the dorsal lateral geniculate nucleus (dLGN) of the thalamus."" [GOC:aruk, GOC:bc, PMID:16025107, PMID:22632727, PMID:29322522]",3,15,2,20972,0.13333333333333333,0.6666666666666666,query_1,"['GO:0003002', 'GO:0007417', 'GO:0150063']"
GO:BP,GO:0043315,positive regulation of neutrophil degranulation,0.0018840327235201781,True,"""Any process that activates or increases the frequency, rate or extent of neutrophil degranulation."" [ISBN:0781735149]",3,15,2,20972,0.13333333333333333,0.6666666666666666,query_1,"['GO:0002888', 'GO:0043302', 'GO:0043312', 'GO:0043313', 'GO:0050778']"
GO:BP,GO:0001905,activation of membrane attack complex,0.0018840327235201781,True,"""The activation of the membrane attack complex components of the complement cascade which can result in death of a target cell through cytolysis."" [GOC:add, ISBN:0781735149]",3,15,2,20972,0.13333333333333333,0.6666666666666666,query_1,['GO:0006956']
GO:BP,GO:0045963,negative regulation of dopamine metabolic process,0.0018840327235201781,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving dopamine."" [GOC:go_curators]",3,15,2,20972,0.13333333333333333,0.6666666666666666,query_1,"['GO:0033239', 'GO:0042053', 'GO:0042417']"
GO:BP,GO:0001969,regulation of activation of membrane attack complex,0.0018840327235201781,True,"""Any process that modulates the frequency, rate or extent of the activation of the membrane attack complex components of the complement cascade."" [GOC:hjd]",3,15,2,20972,0.13333333333333333,0.6666666666666666,query_1,"['GO:0001905', 'GO:0030449']"
GO:BP,GO:0010574,regulation of vascular endothelial growth factor production,0.002299866967502004,True,"""Any process that modulates the frequency, rate, or extent of production of vascular endothelial growth factor."" [GOC:rl]",34,15,3,20972,0.2,0.08823529411764706,query_1,"['GO:0001817', 'GO:0010573']"
GO:BP,GO:0010573,vascular endothelial growth factor production,0.0029824464619497126,True,"""The appearance of vascular endothelial growth factor production due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:rl]",37,15,3,20972,0.2,0.08108108108108109,query_1,['GO:0001816']
GO:BP,GO:0033239,negative regulation of amine metabolic process,0.003766508172494602,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving amines."" [GOC:mah]",4,15,2,20972,0.13333333333333333,0.5,query_1,"['GO:0009308', 'GO:0009892', 'GO:0033238']"
GO:BP,GO:0150062,complement-mediated synapse pruning,0.003766508172494602,True,"""Synaptic pruning mediated by complement system signaling."" [GOC:aruk, GOC:bc, PMID:18083105, PMID:22632727, PMID:29844190]",4,15,2,20972,0.13333333333333333,0.5,query_1,['GO:0098883']
GO:BP,GO:0030451,"regulation of complement activation, alternative pathway",0.003766508172494602,True,"""Any process that modulates the frequency, rate or extent of the alternative pathway of complement activation."" [GOC:go_curators]",4,15,2,20972,0.13333333333333333,0.5,query_1,"['GO:0006957', 'GO:0030449', 'GO:0045088']"
GO:BP,GO:0050896,response to stimulus,0.004387035075431045,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,15,15,20972,1.0,0.0016572754391779914,query_1,['GO:0008150']
GO:BP,GO:0001774,microglial cell activation,0.0050683344398845896,True,"""The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, PMID:10626665, PMID:10695728, PMID:12580336, PMID:9893949]",44,15,3,20972,0.2,0.06818181818181818,query_1,"['GO:0002269', 'GO:0042116', 'GO:0061900']"
GO:BP,GO:0002269,leukocyte activation involved in inflammatory response,0.006197313985213986,True,"""A change in the morphology or behavior of a leukocyte resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an inflammatory response."" [GOC:add, ISBN:0781735149]",47,15,3,20972,0.2,0.06382978723404255,query_1,"['GO:0006954', 'GO:0045321']"
GO:BP,GO:0002449,lymphocyte mediated immunity,0.006227516776816621,True,"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",377,15,5,20972,0.3333333333333333,0.013262599469496022,query_1,['GO:0002443']
GO:BP,GO:0045917,positive regulation of complement activation,0.006274919277242088,True,"""Any process that activates or increases the frequency, rate or extent of complement activation."" [GOC:go_curators]",5,15,2,20972,0.13333333333333333,0.4,query_1,"['GO:0002699', 'GO:0002922', 'GO:0006956', 'GO:0030449']"
GO:BP,GO:0006911,"phagocytosis, engulfment",0.006607629829958937,True,"""The internalization of bacteria, immune complexes and other particulate matter or of an apoptotic cell by phagocytosis, including the membrane and cytoskeletal processes required, which involves one of three mechanisms: zippering of pseudopods around a target via repeated receptor-ligand interactions, sinking of the target directly into plasma membrane of the phagocytosing cell, or induced uptake via an enhanced membrane ruffling of the phagocytosing cell similar to macropinocytosis."" [GOC:curators, ISBN:0781735149]",48,15,3,20972,0.2,0.0625,query_1,"['GO:0006909', 'GO:0099024']"
GO:BP,GO:0032091,negative regulation of protein binding,0.006607629829958937,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of protein binding."" [GOC:mah]",48,15,3,20972,0.2,0.0625,query_1,"['GO:0043393', 'GO:0051100']"
REAC,REAC:R-HSA-6798695,Neutrophil degranulation,0.007148444218152978,True,Neutrophil degranulation,476,15,6,11056,0.4,0.012605042016806723,query_1,['REAC:R-HSA-168249']
GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.0072547008389256575,True,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",389,15,5,20972,0.3333333333333333,0.012853470437017995,query_1,['GO:0002250']
GO:BP,GO:0061900,glial cell activation,0.007481403137781456,True,"""A change in morphology and behavior of a glial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:aruk, GOC:bc, PMID:18723082]",50,15,3,20972,0.2,0.06,query_1,"['GO:0001775', 'GO:0150076']"
GO:BP,GO:0002886,regulation of myeloid leukocyte mediated immunity,0.010553610053642215,True,"""Any process that modulates the frequency, rate, or extent of myeloid leukocyte mediated immunity."" [GOC:add]",56,15,3,20972,0.2,0.05357142857142857,query_1,"['GO:0002444', 'GO:0002703']"
GO:BP,GO:0099024,plasma membrane invagination,0.01113513803422399,True,"""An infolding of the plasma membrane."" [GOC:dos, GOC:vw]",57,15,3,20972,0.2,0.05263157894736842,query_1,['GO:0010324']
KEGG,KEGG:05152,Tuberculosis,0.012187775073853498,True,Tuberculosis,176,15,4,8716,0.26666666666666666,0.022727272727272728,query_1,['KEGG:00000']
GO:BP,GO:0045959,"negative regulation of complement activation, classical pathway",0.01316644125339832,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of complement activation by the classical pathway."" [GOC:go_curators]",7,15,2,20972,0.13333333333333333,0.2857142857142857,query_1,"['GO:0002924', 'GO:0006958', 'GO:0030450', 'GO:0045916']"
GO:BP,GO:0043313,regulation of neutrophil degranulation,0.01316644125339832,True,"""Any process that modulates the frequency, rate, or extent of neutrophil degranulation."" [ISBN:0781735149]",7,15,2,20972,0.13333333333333333,0.2857142857142857,query_1,"['GO:0002886', 'GO:0043300', 'GO:0043312', 'GO:0050776']"
GO:BP,GO:0002712,regulation of B cell mediated immunity,0.013672784726257003,True,"""Any process that modulates the frequency, rate, or extent of B cell mediated immunity."" [GOC:add]",61,15,3,20972,0.2,0.04918032786885246,query_1,"['GO:0002706', 'GO:0002822', 'GO:0019724']"
GO:BP,GO:0002889,regulation of immunoglobulin mediated immune response,0.013672784726257003,True,"""Any process that modulates the frequency, rate, or extent of an immunoglobulin mediated immune response."" [GOC:add]",61,15,3,20972,0.2,0.04918032786885246,query_1,"['GO:0002712', 'GO:0016064']"
GO:BP,GO:0010324,membrane invagination,0.015807982936106954,True,"""The infolding of a membrane."" [GOC:tb]",64,15,3,20972,0.2,0.046875,query_1,['GO:0061024']
GO:BP,GO:1903659,regulation of complement-dependent cytotoxicity,0.01754800019219804,True,"""Any process that modulates the frequency, rate or extent of complement-dependent cytotoxicity."" [GO_REF:0000058, GOC:TermGenie, PMID:24280217]",8,15,2,20972,0.13333333333333333,0.25,query_1,"['GO:0031341', 'GO:0097278']"
GO:BP,GO:0030450,"regulation of complement activation, classical pathway",0.01754800019219804,True,"""Any process that modulates the frequency, rate or extent of the classical pathway of complement activation."" [GOC:go_curators]",8,15,2,20972,0.13333333333333333,0.25,query_1,"['GO:0002923', 'GO:0006958', 'GO:0030449']"
GO:BP,GO:0006909,phagocytosis,0.02632810709423409,True,"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]",238,15,4,20972,0.26666666666666666,0.01680672268907563,query_1,['GO:0006897']
GO:BP,GO:0150076,neuroinflammatory response,0.02759971323397147,True,"""The immediate defensive reaction by neural vertebrate tissue to infection or injury caused by chemical or physical agents."" [GOC:aruk, GOC:bc, PMID:10981966, PMID:11099416, PMID:18164423]",77,15,3,20972,0.2,0.03896103896103896,query_1,['GO:0006954']
GO:BP,GO:0051100,negative regulation of binding,0.02759971323397147,True,"""Any process that stops or reduces the rate or extent of binding, the selective interaction of a molecule with one or more specific sites on another molecule."" [GOC:ai]",77,15,3,20972,0.2,0.03896103896103896,query_1,"['GO:0044092', 'GO:0051098']"
GO:BP,GO:0002924,negative regulation of humoral immune response mediated by circulating immunoglobulin,0.028178839137977054,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of a humoral immune response mediated by circulating immunoglobulin."" [GOC:add]",10,15,2,20972,0.13333333333333333,0.2,query_1,"['GO:0002455', 'GO:0002890', 'GO:0002921', 'GO:0002923']"
GO:BP,GO:0043393,regulation of protein binding,0.034577732162946795,True,"""Any process that modulates the frequency, rate or extent of protein binding."" [GOC:go_curators]",83,15,3,20972,0.2,0.03614457831325301,query_1,['GO:0051098']
KEGG,KEGG:05171,Coronavirus disease - COVID-19,0.036201505284034124,True,Coronavirus disease - COVID-19,234,15,4,8716,0.26666666666666666,0.017094017094017096,query_1,['KEGG:00000']
GO:BP,GO:0043312,neutrophil degranulation,0.04129481416334351,True,"""The regulated exocytosis of secretory granules containing preformed mediators such as proteases, lipases, and inflammatory mediators by a neutrophil."" [ISBN:0781735149]",12,15,2,20972,0.13333333333333333,0.16666666666666666,query_1,"['GO:0002283', 'GO:0002446', 'GO:0043299']"
REAC,REAC:R-HSA-166663,Initial triggering of complement,0.04317559369615761,True,Initial triggering of complement,76,15,3,11056,0.2,0.039473684210526314,query_1,['REAC:R-HSA-166658']
GO:BP,GO:0045321,leukocyte activation,0.04559749397208372,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,15,6,20972,0.4,0.006153846153846154,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0045916,negative regulation of complement activation,0.04878279569516439,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of complement activation."" [GOC:go_curators]",13,15,2,20972,0.13333333333333333,0.15384615384615385,query_1,"['GO:0002698', 'GO:0002921', 'GO:0006956', 'GO:0030449']"
